year,state,sport,gender,participants
1995,CA,Football,Boys,113686
1995,CA,Football,Girls,0
1995,CA,Golf,Boys,17201
1995,CA,Golf,Girls,5140
1995,CA,Gymnastics,Boys,446
1995,CA,Gymnastics,Girls,3791
1995,CA,Lacrosse,Boys,2570
1995,CA,Lacrosse,Girls,1387
1995,CA,Soccer,Boys,33546
1995,CA,Soccer,Girls,24911
1995,CA,Softball,Girls,39967
1995,CA,Swimming,Boys,10009
1995,CA,Swimming,Girls,15908
1995,CA,Tennis,Boys,17662
1995,CA,Tennis,Girls,18568
1995,CA,Track and Field,Boys,57073
1995,CA,Track and Field,Girls,46982
1995,CA,Volleyball,Boys,6040
1995,CA,Volleyball,Girls,45411
1995,CA,Wrestling,Boys,28581
1995,CO,Baseball,Boys,7291
1995,CO,Basketball,Boys,9515
1995,CO,Basketball,Girls,7149
1995,CO,Cross Country,Boys,3015
1995,CO,Cross Country,Girls,2141
1995,CO,Football,Boys,16049
1995,CO,Football,Girls,0
1995,CO,Golf,Boys,2426
1995,CO,Golf,Girls,713
1995,CO,Gymnastics,Boys,41
1995,CO,Gymnastics,Girls,365
1995,CO,Ice Hockey,Boys,559
1995,CO,Ice Hockey,Girls,0
1995,CO,Lacrosse,Boys,700
1995,CO,Lacrosse,Girls,389
1995,CO,Soccer,Boys,4561
1995,CO,Soccer,Girls,3592
1995,CO,Softball,Girls,5738
1995,CO,Swimming,Boys,1483
1995,CO,Swimming,Girls,2226
1995,CO,Tennis,Boys,2440
1995,CO,Tennis,Girls,2678
1995,CO,Track and Field,Boys,8246
1995,CO,Track and Field,Girls,6513
1995,CO,Volleyball,Boys,145
1995,CO,Volleyball,Girls,6204
1995,CO,Wrestling,Boys,4737
1995,CT,Baseball,Boys,4710
1995,CT,Basketball,Boys,5898
1995,CT,Basketball,Girls,4626
1995,CT,Cross Country,Boys,1884
1995,CT,Cross Country,Girls,1458
1995,CT,Field Hockey,Girls,2458
1995,CT,Football,Boys,10517
1995,CT,Football,Girls,0
1995,CT,Golf,Boys,1555
1995,CT,Golf,Girls,451
1995,CT,Gymnastics,Boys,39
1995,CT,Gymnastics,Girls,350
1995,CT,Ice Hockey,Boys,1032
1995,CT,Ice Hockey,Girls,0
1995,CT,Lacrosse,Boys,806
1995,CT,Lacrosse,Girls,444
1995,CT,Soccer,Boys,2958
1995,CT,Soccer,Girls,2311
1995,CT,Softball,Girls,3623
1995,CT,Swimming,Boys,910
1995,CT,Swimming,Girls,1451
1995,CT,Tennis,Boys,1614
1995,CT,Tennis,Girls,1725
1995,CT,Track and Field,Boys,5341
1995,CT,Track and Field,Girls,4212
1995,CT,Volleyball,Boys,370
1995,CT,Volleyball,Girls,4041
1995,CT,Wrestling,Boys,1732
1995,DC,Baseball,Boys,847
1995,DC,Basketball,Boys,1106
1995,DC,Basketball,Girls,816
1995,DC,Cross Country,Boys,339
1995,DC,Cross Country,Girls,260
1995,DC,Football,Boys,1822
1995,DC,Football,Girls,0
1995,DC,Golf,Boys,298
1995,DC,Golf,Girls,81
1995,DC,Ice Hockey,Boys,16
1995,DC,Ice Hockey,Girls,0
1995,DC,Lacrosse,Boys,13
1995,DC,Lacrosse,Girls,6
1995,DC,Soccer,Boys,533
1995,DC,Soccer,Girls,417
1995,DC,Softball,Girls,663
1995,DC,Swimming,Boys,174
1995,DC,Swimming,Girls,263
1995,DC,Tennis,Boys,286
1995,DC,Tennis,Girls,313
1995,DC,Track and Field,Boys,1000
1995,DC,Track and Field,Girls,759
1995,DC,Volleyball,Girls,723
1995,DC,Wrestling,Boys,318
1995,DE,Baseball,Boys,1287
1995,DE,Basketball,Boys,1627
1995,DE,Basketball,Girls,1208
1995,DE,Cross Country,Boys,507
1995,DE,Cross Country,Girls,394
1995,DE,Field Hockey,Girls,580
1995,DE,Football,Boys,2789
1995,DE,Football,Girls,0
1995,DE,Golf,Boys,443
1995,DE,Golf,Girls,125
1995,DE,Lacrosse,Boys,191
1995,DE,Lacrosse,Girls,101
1995,DE,Soccer,Boys,834
1995,DE,Soccer,Girls,633
1995,DE,Softball,Girls,1022
1995,DE,Swimming,Boys,250
1995,DE,Swimming,Girls,383
1995,DE,Tennis,Boys,429
1995,DE,Tennis,Girls,482
1995,DE,Track and Field,Boys,1493
1995,DE,Track and Field,Girls,1178
1995,DE,Volleyball,Girls,1138
1995,DE,Wrestling,Boys,481
1995,FL,Baseball,Boys,26123
1995,FL,Basketball,Boys,32480
1995,FL,Basketball,Girls,25164
1995,FL,Cross Country,Boys,10457
1995,FL,Cross Country,Girls,7836
1995,FL,Football,Boys,54467
1995,FL,Football,Girls,0
1995,FL,Golf,Boys,8732
1995,FL,Golf,Girls,2507
1995,FL,Gymnastics,Boys,114
1995,FL,Gymnastics,Girls,991
1995,FL,Lacrosse,Boys,1863
1995,FL,Lacrosse,Girls,1040
1995,FL,Soccer,Boys,16759
1995,FL,Soccer,Girls,12411
1995,FL,Softball,Girls,20451
1995,FL,Swimming,Boys,4999
1995,FL,Swimming,Girls,7766
1995,FL,Tennis,Boys,8505
1995,FL,Tennis,Girls,9717
1995,FL,Track and Field,Boys,28802
1995,FL,Track and Field,Girls,22987
1995,FL,Volleyball,Boys,803
1995,FL,Volleyball,Girls,21901
1995,FL,Wrestling,Boys,9351
1995,GA,Baseball,Boys,14691
1995,GA,Basketball,Boys,18439
1995,GA,Basketball,Girls,13733
1995,GA,Cross Country,Boys,5910
1995,GA,Cross Country,Girls,4240
1995,GA,Football,Boys,30306
1995,GA,Football,Girls,0
1995,GA,Golf,Boys,4911
1995,GA,Golf,Girls,1341
1995,GA,Gymnastics,Boys,63
1995,GA,Gymnastics,Girls,572
1995,GA,Lacrosse,Boys,830
1995,GA,Lacrosse,Girls,454
1995,GA,Soccer,Boys,8959
1995,GA,Soccer,Girls,7014
1995,GA,Softball,Girls,10821
1995,GA,Swimming,Boys,2770
1995,GA,Swimming,Girls,4214
1995,GA,Tennis,Boys,4698
1995,GA,Tennis,Girls,5131
1995,GA,Track and Field,Boys,16071
1995,GA,Track and Field,Girls,13165
1995,GA,Volleyball,Boys,279
1995,GA,Volleyball,Girls,12183
1995,GA,Wrestling,Boys,5001
1995,HI,Baseball,Boys,1700
1995,HI,Basketball,Boys,2240
1995,HI,Basketball,Girls,1656
1995,HI,Cross Country,Boys,689
1995,HI,Cross Country,Girls,523
1995,HI,Football,Boys,3737
1995,HI,Football,Girls,0
1995,HI,Golf,Boys,597
1995,HI,Golf,Girls,171
1995,HI,Soccer,Boys,1100
1995,HI,Soccer,Girls,815
1995,HI,Softball,Girls,1339
1995,HI,Swimming,Boys,334
1995,HI,Swimming,Girls,514
1995,HI,Tennis,Boys,566
1995,HI,Tennis,Girls,634
1995,HI,Track and Field,Boys,1910
1995,HI,Track and Field,Girls,1591
1995,HI,Volleyball,Boys,195
1995,HI,Volleyball,Girls,1442
1995,HI,Wrestling,Boys,624
1995,IA,Baseball,Boys,4412
1995,IA,Basketball,Boys,5372
1995,IA,Basketball,Girls,4189
1995,IA,Cross Country,Boys,1766
1995,IA,Cross Country,Girls,1293
1995,IA,Football,Boys,9367
1995,IA,Football,Girls,0
1995,IA,Golf,Boys,1471
1995,IA,Golf,Girls,425
1995,IA,Gymnastics,Boys,24
1995,IA,Gymnastics,Girls,213
1995,IA,Soccer,Boys,2808
1995,IA,Soccer,Girls,2129
1995,IA,Softball,Girls,3351
1995,IA,Swimming,Boys,867
1995,IA,Swimming,Girls,1293
1995,IA,Tennis,Boys,1426
1995,IA,Tennis,Girls,1545
1995,IA,Track and Field,Boys,4910
1995,IA,Track and Field,Girls,3828
1995,IA,Volleyball,Girls,3731
1995,IA,Wrestling,Boys,5436
1995,ID,Baseball,Boys,2603
1995,ID,Basketball,Boys,3274
1995,ID,Basketball,Girls,2539
1995,ID,Cross Country,Boys,1053
1995,ID,Cross Country,Girls,796
1995,ID,Football,Boys,5446
1995,ID,Football,Girls,0
1995,ID,Golf,Boys,878
1995,ID,Golf,Girls,256
1995,ID,Soccer,Boys,1604
1995,ID,Soccer,Girls,1291
1995,ID,Softball,Girls,2024
1995,ID,Swimming,Boys,516
1995,ID,Swimming,Girls,777
1995,ID,Tennis,Boys,872
1995,ID,Tennis,Girls,951
1995,ID,Track and Field,Boys,2995
1995,ID,Track and Field,Girls,2276
1995,ID,Volleyball,Girls,2268
1995,ID,Wrestling,Boys,1692
1995,IL,Baseball,Boys,17578
1995,IL,Basketball,Boys,22039
1995,IL,Basketball,Girls,16598
1995,IL,Cross Country,Boys,7073
1995,IL,Cross Country,Girls,5088
1995,IL,Football,Boys,36690
1995,IL,Football,Girls,0
1995,IL,Golf,Boys,5715
1995,IL,Golf,Girls,1663
1995,IL,Gymnastics,Boys,146
1995,IL,Gymnastics,Girls,1305
1995,IL,Ice Hockey,Boys,1596
1995,IL,Ice Hockey,Girls,0
1995,IL,Lacrosse,Boys,1006
1995,IL,Lacrosse,Girls,542
1995,IL,Soccer,Boys,11202
1995,IL,Soccer,Girls,8416
1995,IL,Softball,Girls,13400
1995,IL,Swimming,Boys,3311
1995,IL,Swimming,Girls,5166
1995,IL,Tennis,Boys,5893
1995,IL,Tennis,Girls,6383
1995,IL,Track and Field,Boys,19911
1995,IL,Track and Field,Girls,15333
1995,IL,Volleyball,Boys,1352
1995,IL,Volleyball,Girls,14451
1995,IL,Wrestling,Boys,11472
1995,IN,Baseball,Boys,8561
1995,IN,Basketball,Boys,10651
1995,IN,Basketball,Girls,7980
1995,IN,Cross Country,Boys,3509
1995,IN,Cross Country,Girls,2627
1995,IN,Football,Boys,18851
1995,IN,Football,Girls,0
1995,IN,Golf,Boys,2817
1995,IN,Golf,Girls,814
1995,IN,Gymnastics,Boys,72
1995,IN,Gymnastics,Girls,651
1995,IN,Lacrosse,Boys,422
1995,IN,Lacrosse,Girls,220
1995,IN,Soccer,Boys,5580
1995,IN,Soccer,Girls,4254
1995,IN,Softball,Girls,6616
1995,IN,Swimming,Boys,1654
1995,IN,Swimming,Girls,2533
1995,IN,Tennis,Boys,2846
1995,IN,Tennis,Girls,3231
1995,IN,Track and Field,Boys,9622
1995,IN,Track and Field,Girls,7868
1995,IN,Volleyball,Boys,326
1995,IN,Volleyball,Girls,7366
1995,IN,Wrestling,Boys,5738
1995,KS,Baseball,Boys,3924
1995,KS,Basketball,Boys,5033
1995,KS,Basketball,Girls,3656
1995,KS,Cross Country,Boys,1607
1995,KS,Cross Country,Girls,1160
1995,KS,Football,Boys,8266
1995,KS,Football,Girls,0
1995,KS,Golf,Boys,1301
1995,KS,Golf,Girls,375
1995,KS,Gymnastics,Boys,18
1995,KS,Gymnastics,Girls,153
1995,KS,Soccer,Boys,2503
1995,KS,Soccer,Girls,1909
1995,KS,Softball,Girls,3104
1995,KS,Swimming,Boys,754
1995,KS,Swimming,Girls,1180
1995,KS,Tennis,Boys,1305
1995,KS,Tennis,Girls,1392
1995,KS,Track and Field,Boys,4411
1995,KS,Track and Field,Girls,3428
1995,KS,Volleyball,Girls,3372
1995,KS,Wrestling,Boys,2529
1995,KY,Baseball,Boys,5582
1995,KY,Basketball,Boys,7103
1995,KY,Basketball,Girls,5398
1995,KY,Cross Country,Boys,2220
1995,KY,Cross Country,Girls,1671
1995,KY,Football,Boys,12208
1995,KY,Football,Girls,0
1995,KY,Golf,Boys,1901
1995,KY,Golf,Girls,549
1995,KY,Soccer,Boys,3630
1995,KY,Soccer,Girls,2706
1995,KY,Softball,Girls,4399
1995,KY,Swimming,Boys,1096
1995,KY,Swimming,Girls,1675
1995,KY,Tennis,Boys,1911
1995,KY,Tennis,Girls,2065
1995,KY,Track and Field,Boys,6199
1995,KY,Track and Field,Girls,5195
1995,KY,Volleyball,Boys,334
1995,KY,Volleyball,Girls,4930
1995,KY,Wrestling,Boys,2021
1995,LA,Baseball,Boys,6162
1995,LA,Basketball,Boys,7633
1995,LA,Basketball,Girls,5908
1995,LA,Cross Country,Boys,2364
1995,LA,Cross Country,Girls,1831
1995,LA,Football,Boys,13320
1995,LA,Football,Girls,0
1995,LA,Golf,Boys,2080
1995,LA,Golf,Girls,583
1995,LA,Soccer,Boys,3713
1995,LA,Soccer,Girls,2863
1995,LA,Softball,Girls,4769
1995,LA,Swimming,Boys,1170
1995,LA,Swimming,Girls,1780
1995,LA,Tennis,Boys,2089
1995,LA,Tennis,Girls,2157
1995,LA,Track and Field,Boys,6925
1995,LA,Track and Field,Girls,5475
1995,LA,Volleyball,Girls,5146
1995,LA,Wrestling,Boys,2211
1995,MA,Baseball,Boys,9305
1995,MA,Basketball,Boys,11479
1995,MA,Basketball,Girls,8430
1995,MA,Cross Country,Boys,3688
1995,MA,Cross Country,Girls,2763
1995,MA,Field Hockey,Girls,5066
1995,MA,Football,Boys,19850
1995,MA,Football,Girls,0
1995,MA,Golf,Boys,3067
1995,MA,Golf,Girls,899
1995,MA,Gymnastics,Boys,75
1995,MA,Gymnastics,Girls,661
1995,MA,Ice Hockey,Boys,2572
1995,MA,Ice Hockey,Girls,0
1995,MA,Lacrosse,Boys,1363
1995,MA,Lacrosse,Girls,697
1995,MA,Soccer,Boys,5882
1995,MA,Soccer,Girls,4359
1995,MA,Softball,Girls,7020
1995,MA,Swimming,Boys,1792
1995,MA,Swimming,Girls,2780
1995,MA,Tennis,Boys,2973
1995,MA,Tennis,Girls,3206
1995,MA,Track and Field,Boys,10245
1995,MA,Track and Field,Girls,8330
1995,MA,Volleyball,Boys,689
1995,MA,Volleyball,Girls,7717
1995,MA,Wrestling,Boys,3205
1995,MD,Baseball,Boys,8410
1995,MD,Basketball,Boys,10059
1995,MD,Basketball,Girls,7632
1995,MD,Cross Country,Boys,3229
1995,MD,Cross Country,Girls,2503
1995,MD,Field Hockey,Girls,3703
1995,MD,Football,Boys,18074
1995,MD,Football,Girls,0
1995,MD,Golf,Boys,2767
1995,MD,Golf,Girls,807
1995,MD,Ice Hockey,Boys,148
1995,MD,Ice Hockey,Girls,0
1995,MD,Lacrosse,Boys,2052
1995,MD,Lacrosse,Girls,1078
1995,MD,Soccer,Boys,5135
1995,MD,Soccer,Girls,3948
1995,MD,Softball,Girls,6498
1995,MD,Swimming,Boys,1643
1995,MD,Swimming,Girls,2403
1995,MD,Tennis,Boys,2721
1995,MD,Tennis,Girls,2914
1995,MD,Track and Field,Boys,9407
1995,MD,Track and Field,Girls,7526
1995,MD,Volleyball,Girls,6873
1995,MD,Wrestling,Boys,3587
1995,ME,Baseball,Boys,1692
1995,ME,Basketball,Boys,2208
1995,ME,Basketball,Girls,1608
1995,ME,Cross Country,Boys,681
1995,ME,Cross Country,Girls,509
1995,ME,Field Hockey,Girls,596
1995,ME,Football,Boys,3626
1995,ME,Football,Girls,0
1995,ME,Golf,Boys,569
1995,ME,Golf,Girls,165
1995,ME,Ice Hockey,Boys,319
1995,ME,Ice Hockey,Girls,0
1995,ME,Lacrosse,Boys,25
1995,ME,Lacrosse,Girls,14
1995,ME,Soccer,Boys,1108
1995,ME,Soccer,Girls,848
1995,ME,Softball,Girls,1375
1995,ME,Swimming,Boys,332
1995,ME,Swimming,Girls,533
1995,ME,Tennis,Boys,581
1995,ME,Tennis,Girls,617
1995,ME,Track and Field,Boys,1952
1995,ME,Track and Field,Girls,1555
1995,ME,Volleyball,Girls,1499
1995,ME,Wrestling,Boys,620
1995,MI,Baseball,Boys,12772
1995,MI,Basketball,Boys,16318
1995,MI,Basketball,Girls,12374
1995,MI,Cross Country,Boys,5237
1995,MI,Cross Country,Girls,3774
1995,MI,Field Hockey,Girls,1425
1995,MI,Football,Boys,27755
1995,MI,Football,Girls,0
1995,MI,Golf,Boys,4344
1995,MI,Golf,Girls,1231
1995,MI,Gymnastics,Boys,108
1995,MI,Gymnastics,Girls,971
1995,MI,Ice Hockey,Boys,2965
1995,MI,Ice Hockey,Girls,0
1995,MI,Lacrosse,Boys,755
1995,MI,Lacrosse,Girls,402
1995,MI,Soccer,Boys,8339
1995,MI,Soccer,Girls,6430
1995,MI,Softball,Girls,9801
1995,MI,Swimming,Boys,2594
1995,MI,Swimming,Girls,3800
1995,MI,Tennis,Boys,4272
1995,MI,Tennis,Girls,4706
1995,MI,Track and Field,Boys,14171
1995,MI,Track and Field,Girls,11467
1995,MI,Volleyball,Boys,509
1995,MI,Volleyball,Girls,10814
1995,MI,Wrestling,Boys,7001
1995,MN,Baseball,Boys,7813
1995,MN,Basketball,Boys,9997
1995,MN,Basketball,Girls,7300
1995,MN,Cross Country,Boys,3077
1995,MN,Cross Country,Girls,2375
1995,MN,Football,Boys,16467
1995,MN,Football,Girls,0
1995,MN,Golf,Boys,2543
1995,MN,Golf,Girls,752
1995,MN,Gymnastics,Boys,133
1995,MN,Gymnastics,Girls,1153
1995,MN,Ice Hockey,Boys,2700
1995,MN,Ice Hockey,Girls,0
1995,MN,Lacrosse,Boys,560
1995,MN,Lacrosse,Girls,302
1995,MN,Soccer,Boys,5021
1995,MN,Soccer,Girls,3828
1995,MN,Softball,Girls,6006
1995,MN,Swimming,Boys,1532
1995,MN,Swimming,Girls,2280
1995,MN,Tennis,Boys,2568
1995,MN,Tennis,Girls,2848
1995,MN,Track and Field,Boys,8673
1995,MN,Track and Field,Girls,6840
1995,MN,Volleyball,Girls,6644
1995,MN,Wrestling,Boys,5770
1995,MO,Baseball,Boys,8512
1995,MO,Basketball,Boys,10620
1995,MO,Basketball,Girls,7914
1995,MO,Cross Country,Boys,3357
1995,MO,Cross Country,Girls,2445
1995,MO,Football,Boys,17575
1995,MO,Football,Girls,0
1995,MO,Golf,Boys,2725
1995,MO,Golf,Girls,811
1995,MO,Gymnastics,Boys,37
1995,MO,Gymnastics,Girls,330
1995,MO,Lacrosse,Boys,120
1995,MO,Lacrosse,Girls,64
1995,MO,Soccer,Boys,5114
1995,MO,Soccer,Girls,3944
1995,MO,Softball,Girls,6533
1995,MO,Swimming,Boys,1621
1995,MO,Swimming,Girls,2513
1995,MO,Tennis,Boys,2676
1995,MO,Tennis,Girls,2940
1995,MO,Track and Field,Boys,9491
1995,MO,Track and Field,Girls,7366
1995,MO,Volleyball,Girls,7208
1995,MO,Wrestling,Boys,4493
1995,MS,Baseball,Boys,3849
1995,MS,Basketball,Boys,4793
1995,MS,Basketball,Girls,3723
1995,MS,Cross Country,Boys,1583
1995,MS,Cross Country,Girls,1143
1995,MS,Football,Boys,8638
1995,MS,Football,Girls,0
1995,MS,Golf,Boys,1292
1995,MS,Golf,Girls,372
1995,MS,Soccer,Boys,2503
1995,MS,Soccer,Girls,1866
1995,MS,Softball,Girls,3076
1995,MS,Swimming,Boys,780
1995,MS,Swimming,Girls,1185
1995,MS,Tennis,Boys,1280
1995,MS,Tennis,Girls,1398
1995,MS,Track and Field,Boys,4257
1995,MS,Track and Field,Girls,3490
1995,MS,Volleyball,Girls,3306
1995,MS,Wrestling,Boys,1389
1995,MT,Baseball,Boys,1310
1995,MT,Basketball,Boys,1590
1995,MT,Basketball,Girls,1212
1995,MT,Cross Country,Boys,511
1995,MT,Cross Country,Girls,389
1995,MT,Football,Boys,2733
1995,MT,Football,Girls,0
1995,MT,Golf,Boys,439
1995,MT,Golf,Girls,125
1995,MT,Ice Hockey,Boys,120
1995,MT,Ice Hockey,Girls,0
1995,MT,Soccer,Boys,833
1995,MT,Soccer,Girls,626
1995,MT,Softball,Girls,1037
1995,MT,Swimming,Boys,249
1995,MT,Swimming,Girls,391
1995,MT,Tennis,Boys,436
1995,MT,Tennis,Girls,478
1995,MT,Track and Field,Boys,1494
1995,MT,Track and Field,Girls,1166
1995,MT,Volleyball,Girls,1077
1995,MT,Wrestling,Boys,708
1995,NC,Baseball,Boys,13913
1995,NC,Basketball,Boys,16603
1995,NC,Basketball,Girls,12687
1995,NC,Cross Country,Boys,5236
1995,NC,Cross Country,Girls,3960
1995,NC,Field Hockey,Girls,3080
1995,NC,Football,Boys,29780
1995,NC,Football,Girls,0
1995,NC,Golf,Boys,4505
1995,NC,Golf,Girls,1291
1995,NC,Gymnastics,Boys,75
1995,NC,Gymnastics,Girls,652
1995,NC,Lacrosse,Boys,1308
1995,NC,Lacrosse,Girls,691
1995,NC,Soccer,Boys,8365
1995,NC,Soccer,Girls,6666
1995,NC,Softball,Girls,10398
1995,NC,Swimming,Boys,2635
1995,NC,Swimming,Girls,4084
1995,NC,Tennis,Boys,4494
1995,NC,Tennis,Girls,4924
1995,NC,Track and Field,Boys,15083
1995,NC,Track and Field,Girls,12335
1995,NC,Volleyball,Boys,531
1995,NC,Volleyball,Girls,11480
1995,NC,Wrestling,Boys,4908
1995,ND,Baseball,Boys,1316
1995,ND,Basketball,Boys,1641
1995,ND,Basketball,Girls,1217
1995,ND,Cross Country,Boys,516
1995,ND,Cross Country,Girls,396
1995,ND,Football,Boys,2781
1995,ND,Football,Girls,0
1995,ND,Golf,Boys,434
1995,ND,Golf,Girls,127
1995,ND,Ice Hockey,Boys,238
1995,ND,Ice Hockey,Girls,0
1995,ND,Soccer,Boys,833
1995,ND,Soccer,Girls,634
1995,ND,Softball,Girls,981
1995,ND,Swimming,Boys,263
1995,ND,Swimming,Girls,398
1995,ND,Tennis,Boys,445
1995,ND,Tennis,Girls,485
1995,ND,Track and Field,Boys,1423
1995,ND,Track and Field,Girls,1151
1995,ND,Volleyball,Girls,1140
1995,ND,Wrestling,Boys,956
1995,NE,Baseball,Boys,2546
1995,NE,Basketball,Boys,3201
1995,NE,Basketball,Girls,2486
1995,NE,Cross Country,Boys,1050
1995,NE,Cross Country,Girls,768
1995,NE,Football,Boys,5469
1995,NE,Football,Girls,0
1995,NE,Golf,Boys,888
1995,NE,Golf,Girls,255
1995,NE,Gymnastics,Boys,15
1995,NE,Gymnastics,Girls,129
1995,NE,Soccer,Boys,1599
1995,NE,Soccer,Girls,1252
1995,NE,Softball,Girls,2010
1995,NE,Swimming,Boys,512
1995,NE,Swimming,Girls,783
1995,NE,Tennis,Boys,859
1995,NE,Tennis,Girls,955
1995,NE,Track and Field,Boys,2980
1995,NE,Track and Field,Girls,2369
1995,NE,Volleyball,Girls,2199
1995,NE,Wrestling,Boys,1909
1995,NH,Baseball,Boys,1780
1995,NH,Basketball,Boys,2198
1995,NH,Basketball,Girls,1644
1995,NH,Cross Country,Boys,679
1995,NH,Cross Country,Girls,527
1995,NH,Field Hockey,Girls,674
1995,NH,Football,Boys,3760
1995,NH,Football,Girls,0
1995,NH,Golf,Boys,586
1995,NH,Golf,Girls,165
1995,NH,Ice Hockey,Boys,435
1995,NH,Ice Hockey,Girls,0
1995,NH,Lacrosse,Boys,206
1995,NH,Lacrosse,Girls,116
1995,NH,Soccer,Boys,1115
1995,NH,Soccer,Girls,821
1995,NH,Softball,Girls,1350
1995,NH,Swimming,Boys,331
1995,NH,Swimming,Girls,514
1995,NH,Tennis,Boys,582
1995,NH,Tennis,Girls,636
1995,NH,Track and Field,Boys,1895
1995,NH,Track and Field,Girls,1603
1995,NH,Volleyball,Boys,97
1995,NH,Volleyball,Girls,1517
1995,NH,Wrestling,Boys,637
1995,NJ,Baseball,Boys,12178
1995,NJ,Basketball,Boys,14985
1995,NJ,Basketball,Girls,11792
1995,NJ,Cross Country,Boys,4962
1995,NJ,Cross Country,Girls,3543
1995,NJ,Field Hockey,Girls,6943
1995,NJ,Football,Boys,26637
1995,NJ,Football,Girls,0
1995,NJ,Golf,Boys,4006
1995,NJ,Golf,Girls,1187
1995,NJ,Gymnastics,Boys,83
1995,NJ,Gymnastics,Girls,713
1995,NJ,Ice Hockey,Boys,1530
1995,NJ,Ice Hockey,Girls,0
1995,NJ,Lacrosse,Boys,2030
1995,NJ,Lacrosse,Girls,1116
1995,NJ,Soccer,Boys,7517
1995,NJ,Soccer,Girls,5850
1995,NJ,Softball,Girls,9486
1995,NJ,Swimming,Boys,2427
1995,NJ,Swimming,Girls,3553
1995,NJ,Tennis,Boys,4110
1995,NJ,Tennis,Girls,4517
1995,NJ,Track and Field,Boys,13944
1995,NJ,Track and Field,Girls,10642
1995,NJ,Volleyball,Boys,1198
1995,NJ,Volleyball,Girls,10562
1995,NJ,Wrestling,Boys,10832
1995,NM,Baseball,Boys,2663
1995,NM,Basketball,Boys,3188
1995,NM,Basketball,Girls,2518
1995,NM,Cross Country,Boys,1073
1995,NM,Cross Country,Girls,761
1995,NM,Football,Boys,5682
1995,NM,Football,Girls,0
1995,NM,Golf,Boys,893
1995,NM,Golf,Girls,249
1995,NM,Soccer,Boys,1669
